bioclimatic_zone,structure,category,physiography_limit,code,color_class,color,broad_class,map_class,target,macrogroup_code,macrogroup,group_code,group
6. Abiotic,unvegetated,other,none,997,Abiotic,FFFFFF,Permanent Snow / Ice,Permanent Snow / Ice,none,none,none,none,none
6. Abiotic,unvegetated,other,none,998,Abiotic,BEE8FF,Persistent Water,Persistent Water,none,none,none,none,none
5. Anthropogenic,unvegetated,other,none,994,Anthropogenic,CD6666,Agricultural,Agricultural,none,none,none,none,none
5. Anthropogenic,various,other,none,995,Anthropogenic,CD6666,Disturbed Vegetation,Disturbed Vegetation,none,none,none,none,none
5. Anthropogenic,unvegetated,other,none,996,Anthropogenic,FF0000,Infrastructure,Infrastructure,none,none,none,none,none
1. Temperate,unvegetated,barren,alpine,51,Barren,FFFFBE,Barren,Alaska Pacific Alpine Barren & Sparsely Vegetated,group,M101,North Pacific Coastal Alpine Tundra,G1203,Alaska Pacific Alpine Bedrock & Scree
1. Temperate,unvegetated,barren,none,100,Barren,FFFFBE,Barren,Alaska Pacific Barren & Sparsely Vegetated,group,M887,"Western North American Cliff, Scree & Rock",G318,"North Pacific Montane Cliff, Scree & Rock"
1. Temperate,unvegetated,barren,riverine,85,Barren,FFFFBE,Barren,Alaska Pacific Barren & Sparsely Vegetated Active Floodplain,alliance,M558,"Alaska Pacific Marsh, Wet Meadow & Shrub Wetland",G1210,Alaska Pacific Shrub & Graminoid Floodplain
1. Temperate,unvegetated,barren,coastal,41,Barren,FFFFBE,Barren,Alaska Pacific Coastal & Estuarine Barren,subgroup,M059,Pacific Coastal Beach & Dune,G498,North Pacific Maritime Dune & Coastal Beach
2. Northern Subpolar Oceanic,unvegetated,barren,none,110,Barren,FFFFBE,Barren,Aleutian-Kamchatka Barren & Sparsely Vegetated,group,M887,"Western North American Cliff, Scree & Rock",G1192,"Aleutian-Kamchatka Cliff, Scree & Rock"
2. Northern Subpolar Oceanic,unvegetated,barren,riverine,104,Barren,FFFFBE,Barren,Aleutian-Kamchatka Barren & Sparsely Vegetated Active Floodplain,alliance,M558,"Alaska Pacific Marsh, Wet Meadow & Shrub Wetland",G1207,Aleutian-Kamchatka Shrub & Graminoid Floodplain
3. Boreal,unvegetated,barren,alpine,176,Barren,FFFFBE,Barren,Alaska-Yukon Alpine Barren & Sparsely Vegetated,group,M404,Western Boreal Alpine Tundra,G785,"Western Boreal Alpine Cliff, Scree & Rock"
3. Boreal,unvegetated,barren,none,250,Barren,FFFFBE,Barren,Alaska-Yukon Barren & Sparsely Vegetated,group,M895,"North American Boreal Cliff, Scree & Rock",G822,"Western Boreal Cliff, Scree & Rock"
3. Boreal,unvegetated,barren,riverine,224,Barren,FFFFBE,Barren,Alaska-Yukon Barren & Sparsely Vegetated Active Floodplain,alliance,M894,"North American Boreal Marsh, Wet Meadow & Shrubland",G1194,Western Boreal Shrub & Graminoid Floodplain
4. Arctic,unvegetated,barren,none,330,Barren,FFFFBE,Barren,Arctic Barren & Sparsely Vegetated,group,M175,"Arctic Scree, Rock & Cliff Barrens",G869,"Arctic Open Scree, Rock & Cliff Barrens"
4. Arctic,unvegetated,barren,riverine,315,Barren,FFFFBE,Barren,Arctic Barren & Sparsely Vegetated Active Floodplain,subgroup,M870,Arctic Freshwater Marsh and Riverine Herbaceous & Shrubland,G1204,Arctic Shrub & Graminoid Floodplain
4. Arctic,unvegetated,barren,coastal,302,Barren,FFFFBE,Barren,Arctic Coastal & Estuarine Barren,alliance,M402,North American Arctic Coastal Shore,G864,Arctic Coastal Dune & Beach
1. Temperate,coniferous tree,peatland,ombrotrophic,93,Bog,AEFFB9,Needleleaf Bog,"Alaska Pacific Sitka Spruce (-Shore Pine) Peatland, Ombrotrophic",alliance,M559,North Pacific Bog & Acidic Fen,G610,North Pacific Maritime Wooded Bog & Poor Fen
